K,hit_count,total_queries,hit_ratio
1,158,1067,0.14807872539831302
3,255,1067,0.23898781630740393
5,310,1067,0.29053420805998126
10,410,1067,0.38425492033739456
20,518,1067,0.4854732895970009
50,685,1067,0.6419868791002812
