query_id,first_relevant_rank
EP1253242,21.0
EP1521489,138.0
EP1511067,280.0
EP1783635,
EP1329318,348.0
EP1657734,
EP1798587,2.0
EP1340831,1.0
EP1575152,
EP1668992,12.0
EP1263055,
EP1394065,10.0
EP1586921,52.0
EP1308753,12.0
EP1387052,4.0
EP1700791,28.0
EP1357722,
EP1350626,252.0
EP1533813,497.0
EP1746721,151.0
EP1521099,67.0
EP1229485,29.0
EP1244208,123.0
EP1229754,24.0
EP1808677,
EP1396999,194.0
EP1380254,1.0
EP1533351,11.0
EP1593667,71.0
EP1503326,82.0
EP1283107,1.0
EP1854426,8.0
EP1319887,17.0
EP1510305,5.0
EP1246386,104.0
EP1704916,
EP1610410,
EP1445606,30.0
EP1359321,37.0
EP1232866,1.0
EP1326279,32.0
EP1672952,284.0
EP1840096,130.0
EP1245464,28.0
EP1464416,
EP1256397,6.0
EP1582108,3.0
EP1316844,13.0
EP1482429,20.0
EP1783358,46.0
EP1462355,6.0
EP1396251,1.0
EP1364930,1.0
EP1353498,88.0
EP1533327,1.0
EP1820690,6.0
EP1354527,43.0
EP1598787,12.0
EP1498642,7.0
EP1238663,
EP1238744,2.0
EP1723989,199.0
EP1504852,32.0
EP1607906,82.0
EP1489144,11.0
EP1223211,56.0
EP1645591,27.0
EP1435442,139.0
EP1629808,79.0
EP1760222,
EP1474992,105.0
EP1367629,
EP1749761,4.0
EP1479345,18.0
EP1357750,4.0
EP1469239,32.0
EP1251313,22.0
EP1471117,
EP1582097,1.0
EP1580754,71.0
EP1467425,128.0
EP1298637,177.0
EP1639977,138.0
EP1808292,9.0
EP1353390,7.0
EP1231486,1.0
EP1413739,41.0
EP1655298,
EP1674816,2.0
EP1536380,14.0
EP1477434,62.0
EP1604657,
EP1686674,199.0
EP1721508,1.0
EP1504870,1.0
EP1457740,32.0
EP1646123,
EP1699075,2.0
EP1239127,1.0
EP1405791,9.0
EP1686026,1.0
EP1262748,
EP1465430,271.0
EP1249976,164.0
EP1365549,701.0
EP1252859,113.0
EP1593517,
EP1745846,321.0
EP1548299,4.0
EP1366781,1.0
EP1867867,146.0
EP1257012,163.0
EP1510612,1.0
EP1716922,
EP1375347,2.0
EP1547481,1.0
EP1285595,
EP1777781,59.0
EP1231222,5.0
EP1495729,110.0
EP1547879,
EP1391708,
EP1254780,59.0
EP1832953,
EP1321055,208.0
EP1408185,98.0
EP1452102,19.0
EP1603361,20.0
EP1793423,73.0
EP1229488,1.0
EP1364912,1.0
EP1437820,55.0
EP1384591,5.0
EP1723978,1.0
EP1842541,
EP1255101,3.0
EP1466970,1.0
EP1381036,81.0
EP1584640,48.0
EP1892859,326.0
EP1500382,70.0
EP1424019,276.0
EP1506882,
EP1723865,1.0
EP1293795,282.0
EP1358811,291.0
EP1380341,1.0
EP1365204,44.0
EP1582716,225.0
